features,labels,item_list
"[8.0, 10.0, 1.0, 2.5, 1.5, 2.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.947284001259783, 1.7026635851954395, 4.623553327009152, 2.0983918162670037, 6.65667977469241, 8.699650249698427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Bookcase', 'CoffeeTable', 'FloorLamp']"
"[8.0, 10.0, 2.0, 2.0, 2.0, 1.5, 1.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.556175582964398, 2.2957489224917307, 1.6896285723866418, 6.220770473794315, 6.677413416142494, 6.448701744766714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Closet', 'CoffeeTable', 'Bookcase']"
"[10.0, 9.0, 1.0, 1.0, 2.0, 1.5, 0.5, 0.5, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[8.451657997009761, 6.379330357338742, 7.239680538246967, 3.794847680538834, 2.1993836675153657, 8.261974144529972, 1.025360335012354, 3.5786143724426784, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'CoffeeTable', 'FloorLamp', 'MediaUnit']"
"[12.0, 11.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.1705485578448408, 0.05036936595339325, 3.14475071813463, 0.7509148202247107, 2.606060098357692, 2.9420352446151736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'Closet', 'CoffeeTable']"
"[8.0, 11.0, 1.0, 2.0, 0.5, 0.5, 2.5, 1.0, 2.0, 2.5, 2.0, 1.5, 1.0, 1.0]","[0.6725750219676966, 4.777462928977432, 6.944516067820165, 8.500359523454161, 3.638491238444682, 3.641751685605162, 4.384323135303473, 0.6548021122095444, 1.508168510744921, 9.084647941898712, 1.2429627069411455, 0.683070607404086]","['MediaUnit', 'FloorLamp', 'Bookcase', 'Couch', 'CoffeeTable', 'Armchair']"
"[12.0, 9.0, 2.0, 2.0, 2.5, 1.0, 0.5, 0.5, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0]","[3.0624526112228545, 0.39596336186502634, 6.7049251324316, 5.159408411637526, 10.479949801452534, 2.0694956038017898, 8.932728445190648, 0.5207729295456907, 0.0, 0.0, 0.0, 0.0]","['Closet', 'Bookcase', 'FloorLamp', 'WorkDesk']"
"[8.0, 11.0, 1.0, 2.5, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.5103413658706835, 1.4847381797678683, 1.6259588977887103, 8.493385339494425, 0.44496792979583377, 0.0801674927983076, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Bookcase', 'MediaUnit', 'Armchair']"
"[10.0, 9.0, 2.5, 2.0, 1.5, 1.0, 2.0, 2.0, 1.0, 2.0, 1.5, 1.0, 0.0, 0.0]","[5.10877674288566, 6.424332662209532, 6.488310778316786, 0.8682930625964902, 4.100618335297576, 0.7897317863408143, 1.7368264010898495, 2.404732827446845, 4.288426686162277, 5.276809147981235, 0.0, 0.0]","['Couch', 'WorkDesk', 'Closet', 'MediaUnit', 'Chest']"
"[12.0, 12.0, 2.0, 2.0, 2.0, 2.5, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.2759075598742573, 9.940261567942613, 6.343973462539971, 4.509784994396755, 8.896824047040575, 3.5229120507850693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Closet', 'Couch', 'Armchair']"
"[11.0, 9.0, 0.5, 0.5, 1.5, 1.0, 2.0, 2.0, 2.0, 1.5, 0.0, 0.0, 0.0, 0.0]","[9.306122417637196, 7.101537652317717, 6.688492991242707, 1.160726589576651, 0.4841085938334668, 1.9742901448564383, 2.0582595745024768, 5.611936844648782, 0.0, 0.0, 0.0, 0.0]","['FloorLamp', 'Chest', 'Closet', 'CoffeeTable']"
"[12.0, 9.0, 1.5, 1.0, 1.5, 1.0, 1.0, 2.0, 2.5, 2.0, 2.0, 1.5, 0.0, 0.0]","[9.313904251481237, 3.942849230665473, 7.138272443376074, 0.4532828857391493, 4.049036563553497, 4.857014553037145, 0.9110160318314263, 0.4792172933373221, 8.483340094191345, 6.34258175818687, 0.0, 0.0]","['Chest', 'WorkDesk', 'MediaUnit', 'Couch', 'CoffeeTable']"
"[12.0, 12.0, 2.0, 2.0, 2.0, 1.5, 1.5, 1.0, 1.0, 1.0, 0.5, 0.5, 1.0, 2.0]","[4.993145002885038, 9.365598767273468, 5.065147753027394, 3.8683508881055575, 9.098458747528122, 4.338564987535831, 7.189214923653031, 6.686542708337821, 10.998830245639224, 9.895711270415456, 2.826344283038251, 0.4613663178088512]","['Closet', 'CoffeeTable', 'Chest', 'Armchair', 'FloorLamp', 'MediaUnit']"
"[9.0, 8.0, 2.0, 1.5, 1.0, 2.0, 1.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.8244249102085432, 3.777024614759813, 3.809915696500841, 0.6745213668144454, 1.3442764824651512, 4.338372700527566, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['CoffeeTable', 'MediaUnit', 'Bookcase']"
"[10.0, 8.0, 1.0, 1.5, 1.0, 1.0, 2.5, 1.0, 0.5, 0.5, 2.5, 2.0, 0.0, 0.0]","[8.296366824339593, 2.356685306141224, 8.40417700730611, 0.9111584352545343, 0.7714366817846391, 4.61773561587526, 1.4896698168001374, 2.9410553255455967, 4.93461478577281, 5.179375871766975, 0.0, 0.0]","['Chest', 'Armchair', 'Bookcase', 'FloorLamp', 'Couch']"
"[10.0, 8.0, 1.5, 1.0, 2.5, 1.0, 1.0, 2.0, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0]","[6.63085948452596, 3.1263121150766073, 2.1097743254469252, 6.15053131518138, 2.7101597453079673, 2.4485258151820095, 0.5986332427310685, 0.9201886379616586, 0.0, 0.0, 0.0, 0.0]","['Chest', 'Bookcase', 'MediaUnit', 'WorkDesk']"
"[10.0, 9.0, 1.0, 2.0, 2.0, 1.5, 0.5, 0.5, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0]","[7.898726835355672, 6.481459109220656, 0.29542992746676067, 7.166096866782364, 6.107377034226421, 7.2364767295717725, 2.511107320059832, 6.692932256327883, 0.0, 0.0, 0.0, 0.0]","['MediaUnit', 'CoffeeTable', 'FloorLamp', 'WorkDesk']"
"[9.0, 11.0, 1.0, 2.0, 1.5, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.370249219101102, 6.67378671373405, 1.6795922202142481, 2.8872438810523664, 4.80183558055298, 6.597978499304729, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MediaUnit', 'CoffeeTable', 'Armchair']"
"[9.0, 9.0, 2.0, 1.5, 2.5, 2.0, 1.0, 2.0, 1.5, 1.0, 2.0, 2.0, 1.0, 1.0]","[4.085617698406374, 6.407254101545144, 5.54466227345238, 3.1078563139807756, 4.7378351229824816, 0.13147298814882258, 0.8646678731012938, 7.718543545385583, 1.2787549922028478, 1.937304293167251, 0.31064941297188664, 0.2212471846353079]","['CoffeeTable', 'Couch', 'MediaUnit', 'WorkDesk', 'Closet', 'Armchair']"
"[11.0, 10.0, 2.0, 2.5, 1.5, 1.0, 1.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.607571879631365, 1.687543154266376, 0.8613333321006293, 7.132112237060989, 8.128629020960712, 2.724770884936819, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Couch', 'WorkDesk', 'Bookcase']"
"[12.0, 8.0, 2.5, 2.0, 1.5, 1.0, 1.0, 1.5, 0.5, 0.5, 1.0, 2.5, 2.0, 2.0]","[5.5774245125468624, 4.715578064970212, 6.6554152707013055, 2.9131012151981275, 0.7606116119723704, 5.393936746158422, 1.6270057967849756, 3.6696463696074435, 8.329737837020827, 0.30464414591049116, 2.539826567399629, 3.269555322545024]","['Couch', 'WorkDesk', 'Chest', 'FloorLamp', 'Bookcase', 'Closet']"
"[8.0, 10.0, 2.0, 1.0, 1.0, 1.0, 1.5, 1.0, 1.0, 1.5, 2.0, 2.0, 1.0, 2.5]","[3.5067176378724705, 8.97045348963701, 1.2277830699715646, 8.424081833739315, 4.173664540303374, 6.128766668413943, 1.9469219760498855, 6.051662536294576, 1.9967004769293646, 3.7515257356920406, 5.922958049747486, 0.38741296094660843]","['MediaUnit', 'Armchair', 'Chest', 'WorkDesk', 'Closet', 'Bookcase']"
"[12.0, 8.0, 2.0, 1.5, 1.0, 1.0, 0.5, 0.5, 2.0, 1.0, 1.0, 2.5, 0.0, 0.0]","[9.875279556633986, 4.437789893606937, 10.951458060016884, 6.062170489447968, 1.0932680579673189, 5.342554335772865, 4.8802834345096375, 1.5878774902309145, 8.614744780772746, 0.5519066897508584, 0.0, 0.0]","['CoffeeTable', 'Armchair', 'FloorLamp', 'MediaUnit', 'Bookcase']"
"[11.0, 12.0, 1.5, 1.0, 1.0, 1.0, 2.0, 2.5, 1.5, 1.0, 2.0, 2.0, 0.0, 0.0]","[1.9436617888520198, 1.9183258395499232, 0.9762506465461818, 0.1799969545686121, 5.539729842132509, 5.4006588638461, 2.584032191931013, 7.899172634104117, 4.217670026067444, 2.5058875762448816, 0.0, 0.0]","['Chest', 'Armchair', 'Couch', 'WorkDesk', 'Closet']"
"[10.0, 11.0, 1.5, 1.0, 1.0, 1.5, 0.5, 0.5, 2.0, 2.0, 2.5, 2.0, 0.0, 0.0]","[5.025693008692247, 1.2517866663792387, 6.066534614386576, 7.261718462067279, 3.0681295137113236, 3.6669025087981675, 7.145024320122419, 0.42345249868435275, 6.659926729022507, 3.2776891673502018, 0.0, 0.0]","['Chest', 'WorkDesk', 'FloorLamp', 'Closet', 'Couch']"
"[9.0, 9.0, 1.5, 2.0, 0.5, 0.5, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.9647985522671563, 6.915939891616279, 7.126775264743382, 0.5759371266225437, 4.043675322703853, 0.8435041158803737, 2.74430841091141, 4.71294644884078, 0.0, 0.0, 0.0, 0.0]","['CoffeeTable', 'FloorLamp', 'Closet', 'Armchair']"
"[9.0, 8.0, 1.5, 2.0, 2.0, 2.0, 2.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9621535894253543, 3.0773795358294533, 6.08121540169397, 2.401785823477363, 0.14110413799971078, 5.482117392008643, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['CoffeeTable', 'Closet', 'Bookcase']"
"[8.0, 8.0, 2.0, 1.0, 1.5, 1.0, 2.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.475813601907273, 5.666308094360676, 3.19271231640131, 4.630440261200639, 0.23201495795183225, 0.11909151610526453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MediaUnit', 'WorkDesk', 'Couch']"
"[8.0, 12.0, 2.0, 1.5, 2.0, 2.5, 1.0, 1.0, 0.5, 0.5, 2.0, 2.0, 1.5, 1.0]","[3.70571555088261, 7.5534543258755455, 0.34828734449650645, 4.673338737309871, 0.427708541613382, 7.9938285119865755, 3.830185261792324, 9.710362822580397, 4.082931055201362, 3.856415263507833, 5.94824928342689, 9.598030188243325]","['CoffeeTable', 'Couch', 'Armchair', 'FloorLamp', 'Closet', 'WorkDesk']"
"[12.0, 10.0, 1.5, 1.0, 2.0, 2.0, 2.0, 1.5, 1.0, 1.5, 2.5, 2.0, 0.5, 0.5]","[5.463324475589338, 8.236413562822296, 8.15485110564149, 1.9223425514395718, 5.167599837973881, 0.9206744305759405, 8.656919390812027, 4.487436532804376, 0.007368627625948865, 7.320468088863523, 3.215505283253122, 0.41609820873483977]","['Chest', 'Closet', 'CoffeeTable', 'WorkDesk', 'Couch', 'FloorLamp']"
"[12.0, 12.0, 2.0, 1.0, 2.0, 2.0, 1.5, 1.0, 2.0, 2.5, 1.0, 1.0, 0.0, 0.0]","[4.989235554442301, 7.6347768366194995, 3.729687664037237, 4.676365428601088, 3.2132656220010896, 3.2104127141631893, 7.576979951514028, 6.426063145783085, 5.875277733605544, 8.813519768375706, 0.0, 0.0]","['MediaUnit', 'Closet', 'WorkDesk', 'Couch', 'Armchair']"
"[10.0, 9.0, 1.5, 1.0, 1.0, 1.0, 1.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[7.665106290224178, 6.2321344385216015, 7.915238421013484, 7.389458108548023, 5.821575663165234, 2.9777742621254237, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Chest', 'Armchair', 'WorkDesk']"
"[8.0, 10.0, 2.0, 2.0, 1.0, 2.5, 1.0, 1.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]","[3.5716440945886543, 3.615944108423694, 0.7711503275510057, 7.085648595661706, 6.956248570938581, 1.522160265171166, 5.616787225568618, 9.000293752858886, 0.0, 0.0, 0.0, 0.0]","['Closet', 'Bookcase', 'Chest', 'FloorLamp']"
"[12.0, 11.0, 2.0, 2.0, 1.0, 1.0, 2.5, 2.0, 1.0, 1.5, 2.5, 1.0, 0.5, 0.5]","[4.2932323512317865, 4.412594412349143, 0.9872646666309668, 3.9201664851507125, 7.344598570251754, 8.172560505304311, 5.209233112575298, 0.15541185793466566, 4.2096391971420575, 9.910179322448869, 9.35357709348222, 5.0996090519686454]","['Closet', 'Armchair', 'Couch', 'Chest', 'Bookcase', 'FloorLamp']"
"[11.0, 8.0, 0.5, 0.5, 2.0, 2.0, 1.5, 1.0, 2.5, 2.0, 0.0, 0.0, 0.0, 0.0]","[2.6152218446450988, 6.19477665064509, 0.12057101394576886, 1.4545727143270426, 8.055399251026218, 4.784117021760016, 5.091341068976067, 5.997546526877461, 0.0, 0.0, 0.0, 0.0]","['FloorLamp', 'Closet', 'WorkDesk', 'Couch']"
"[9.0, 12.0, 1.0, 2.5, 1.0, 1.0, 1.5, 1.0, 2.5, 2.0, 0.5, 0.5, 1.5, 1.0]","[7.957253775010844, 1.1375496363086626, 1.382480301976015, 2.5712305123142305, 5.300028998297362, 9.945049112563309, 5.665099461252819, 7.243139761250651, 8.465554931241435, 11.199900497856875, 4.008870977584323, 1.8859597281012284]","['Bookcase', 'Armchair', 'Chest', 'Couch', 'FloorLamp', 'WorkDesk']"
"[10.0, 11.0, 2.0, 1.5, 2.5, 2.0, 0.5, 0.5, 1.5, 1.0, 0.0, 0.0, 0.0, 0.0]","[3.8974823865506893, 6.963560152740104, 6.634533349454152, 2.8949997395061935, 1.9348692654886268, 10.2095427113478, 0.23827787798342337, 7.4884290618187785, 0.0, 0.0, 0.0, 0.0]","['CoffeeTable', 'Couch', 'FloorLamp', 'Chest']"
"[11.0, 8.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.5, 0.0, 0.0, 0.0, 0.0]","[6.273871668888381, 2.107946443608572, 8.818156804566575, 1.0012304796042186, 6.6749333492704475, 4.868970364699311, 5.185302446243502, 2.176264367343615, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'MediaUnit', 'Closet', 'Bookcase']"
"[9.0, 8.0, 2.0, 2.0, 1.0, 1.0, 2.5, 2.0, 0.5, 0.5, 2.0, 1.5, 1.0, 1.5]","[4.858505178800026, 5.757034629090462, 7.629928849935293, 4.890883303996491, 4.984290810057187, 1.3101695420051354, 6.015411003049076, 0.05789899670935489, 0.5215203810265022, 0.15878188816269112, 2.9794301534915872, 4.058483045627306]","['Closet', 'Armchair', 'Couch', 'FloorLamp', 'CoffeeTable', 'Chest']"
"[12.0, 11.0, 0.5, 0.5, 2.0, 2.5, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.341174327681122, 7.640607011897636, 3.601699438514554, 2.586976398393081, 3.58855062212559, 7.298463570475918, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['FloorLamp', 'Couch', 'MediaUnit']"
"[11.0, 11.0, 2.0, 1.5, 1.0, 1.0, 1.0, 1.5, 0.5, 0.5, 2.0, 1.0, 1.0, 1.5]","[5.789596101296074, 7.079885876075064, 3.9225431654958243, 2.656212415040904, 6.457412168043217, 0.24998362505191418, 9.39249157840411, 4.525708388535719, 2.0349767114170714, 8.802556946867169, 8.370977537092735, 3.6466210556759866]","['CoffeeTable', 'Armchair', 'WorkDesk', 'FloorLamp', 'MediaUnit', 'Chest']"
"[11.0, 12.0, 0.5, 0.5, 1.5, 1.0, 1.0, 2.0, 2.0, 2.5, 2.0, 2.0, 0.0, 0.0]","[9.340105082898656, 3.3028680861959985, 2.613463508449497, 7.26241511450577, 0.9032308854821658, 6.7933638025351994, 3.725274418560558, 4.4454579591983485, 8.027050941563534, 7.393705895244941, 0.0, 0.0]","['FloorLamp', 'WorkDesk', 'MediaUnit', 'Couch', 'Closet']"
"[12.0, 9.0, 1.5, 1.0, 0.5, 0.5, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.925647946911609, 0.5295681090213051, 10.539687637904157, 3.973951943172142, 1.282610409626097, 5.398703186363257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['WorkDesk', 'FloorLamp', 'Closet']"
"[12.0, 8.0, 1.5, 1.0, 1.5, 1.0, 2.5, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.871115870133685, 1.591214005575273, 2.505307350316955, 6.1310229780823455, 6.351105297486026, 4.225369025501295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['WorkDesk', 'Chest', 'Couch']"
"[10.0, 9.0, 2.0, 1.0, 2.0, 1.5, 1.0, 1.0, 0.5, 0.5, 1.5, 1.0, 2.0, 2.5]","[3.2468445566288198, 1.1541594616977138, 6.288089671432468, 4.052884990351251, 6.5884293388588135, 2.533697392188718, 2.0233940314668497, 8.239158129532337, 3.737366817738782, 2.9941484043772277, 6.844400491696504, 6.3939990520384455]","['MediaUnit', 'CoffeeTable', 'Armchair', 'FloorLamp', 'Chest', 'Couch']"
"[10.0, 12.0, 1.0, 1.5, 1.0, 2.0, 2.5, 2.0, 1.0, 1.5, 0.5, 0.5, 0.0, 0.0]","[2.1319685494123473, 3.70325140852083, 0.8499624129885477, 3.2386491900146264, 2.8457378094589263, 9.566576392421826, 0.2681743571653378, 1.210051545719903, 3.2583785260967133, 1.2323613262464017, 0.0, 0.0]","['Chest', 'MediaUnit', 'Couch', 'WorkDesk', 'FloorLamp']"
"[11.0, 8.0, 1.5, 1.0, 1.0, 1.5, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.505476544668178, 1.1944804748278455, 0.6716921980597179, 2.756131223243396, 6.061046025914192, 6.759914417560422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Chest', 'WorkDesk', 'MediaUnit']"
"[9.0, 9.0, 1.0, 2.5, 1.0, 1.5, 1.5, 1.0, 2.0, 2.0, 1.0, 2.0, 0.5, 0.5]","[2.25519400573107, 6.358406703994007, 4.71798383420148, 4.546743292870837, 0.4940563122522801, 5.288832758920284, 3.592102229425921, 2.5253772022295147, 6.808955248135544, 1.7954029469755095, 7.861188302380339, 3.328912880983841]","['Bookcase', 'Chest', 'WorkDesk', 'Closet', 'MediaUnit', 'FloorLamp']"
"[11.0, 11.0, 1.0, 2.5, 2.0, 2.0, 2.5, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[7.236573944943253, 7.201697706553862, 6.32069697621524, 4.489665393120216, 8.16533379614913, 0.18326050520636727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Bookcase', 'Closet', 'Couch']"
"[10.0, 8.0, 1.0, 2.0, 0.5, 0.5, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.6607006802239854, 4.33255960969937, 9.411093023379317, 5.67986702350494, 1.1077696087826636, 0.49263644938362705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['MediaUnit', 'FloorLamp', 'Closet']"
"[12.0, 9.0, 2.5, 2.0, 1.0, 2.5, 0.5, 0.5, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0]","[7.981332083439877, 1.5198589322167573, 4.32227252147297, 2.6684428033444143, 5.297240212520781, 6.90078830664973, 9.464460105569739, 4.7721872480917344, 0.0, 0.0, 0.0, 0.0]","['Couch', 'Bookcase', 'FloorLamp', 'WorkDesk']"
"[10.0, 8.0, 2.0, 2.0, 1.5, 2.0, 1.0, 1.0, 1.0, 1.5, 2.0, 1.0, 0.0, 0.0]","[2.349069806177776, 3.008322225131579, 7.425834921111646, 5.298250184275617, 6.0039998623623285, 0.11254039048593834, 8.72446412191593, 2.299637513103072, 7.387140454741504, 0.5943340230381673, 0.0, 0.0]","['Closet', 'CoffeeTable', 'Armchair', 'Chest', 'MediaUnit']"
"[8.0, 10.0, 2.0, 2.5, 2.0, 2.0, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.2927765131229376, 3.2546795756611098, 4.869136287006322, 5.462224657203035, 3.764410488749861, 1.3541365484229972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Couch', 'Closet', 'Chest']"
"[12.0, 8.0, 2.5, 1.0, 2.5, 2.0, 1.5, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0]","[7.440815696323802, 1.6239400841615028, 4.656168260056006, 3.6456043822683704, 8.205105273977818, 2.772354474842841, 5.004808664941022, 7.158787609471061, 0.0, 0.0, 0.0, 0.0]","['Bookcase', 'Couch', 'Chest', 'FloorLamp']"
